,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Wanganui GRC ,,,,,,,
26-Feb-20,,,,,,,
Hatrick Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Laser Plumbing C0,"C0 305 $1,365.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Allegro Kyle,2,$3.00,31.2kg,111,Lisa Cole,
2,Idol Lucy,6,$2.90,23.9kg,222,Marcie Flipp,3
3,Alamein Pudly,1,$5.90,30.4kg,333,D E Kettlewell & N E Phillips,5.4
4,Citizen Zagreb,5,$7.40,27.9kg,444,J T McInerney,8.3
5,Freckle,3,$12.10,24.9kg,555,J T McInerney,8.8
6,Big Time Camila,8,$20.30,29.5kg,666,Agent/Williams,11.3
7,Zara Jewel,7,$39.10,26.2kg,777,Sue Gommans,12
8,Ahuroa Whizz,4,$16.50,33.2kg,888,R J Murray,12.1
Scratched,Blue Mowhawk,,,,,,
Scratched,Isaac Marjen,,,,,,
Winners Time: 17.89,|,Margins: 3L2hL3L,|,Owned/Raced by: Brendon Cole,|,Trained by: Lisa Cole,
Sectional 1: 7.04 (Allegro Kyle),Run home: 10.85,,,,,,
FRECKLE (3) - bumped AHUROA WHIZZ entering the bend.,,,,,,,
"AHUROA WHIZZ (4) - bumped then tightened entering the bend, becoming unbalanced and impinging BIG TIME CAMILA shortly after.",,,,,,,
CITIZEN ZAGREB (5) - slow away. Brushed BIG TIME CAMILA shortly after the start.,,,,,,,
IDOL LUCY (6) - raced wide through the home straight.,,,,,,,
ZARA JEWEL (7) - tightened AHUROA WHIZZ entering the bend.,,,,,,,
