,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Auckland GRC ,,,,,,,
24-Feb-20,,,,,,,
Manukau Stadium,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Manukau Gold Series Heat 1 ,"C0q 318 $1,365.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Portland Art,8,$1.70,30.8kg,111,B D F Craik,
2,Thea Who,3,$8.50,28.3kg,222,M Prangley,2.55
3,Get Me Home,4,$4.60,32.2kg,343,J Udy & D Cottam,6.59
4,Riccitelli,1,$13.90,30.0kg,534,M Black,7.64
5,Indi Shae,2,$23.00,27.2kg,655,S O'Neill,8.67
6,Xena Poppy,6,$24.10,27.6kg,866,R & L Udy,10.66
7,Fernando Charm,7,$11.10,27.6kg,777,T A Green,12.45
8,Clever Ester,5,$26.90,26.6kg,488,W & T Steele,13.68
Scratched,Cambodian King,,,,,,
Scratched,Rowdy Ratbag,,,,,,
Winners Time: 18.78,|,Margins: 2hL4L1L,|,Owned/Raced by: Sparkle and Fade Syndicate,|,Trained by: B D F Craik,
Sectional 1: 4.71 (Portland Art),Run home: 14.07,,,,,,
INDI SHAE (2) - checked outwards off heels exiting the bend before shifting ground inwards off heels shortly after entering the home straight.,,,,,,,
GET ME HOME (4) - shouldered with CLEVER ESTER in the run to the bend. Checked from behind rounding the bend.,,,,,,,
CLEVER ESTER (5) - shouldered with GET ME HOME in the run to the bend. Contacted from the inside by FERNANDO CHARM rounding the bend and raced wide.,,,,,,,
FERNANDO CHARM (7) - slow early stages. Awkwardly placed on heels rounding the bend shifting outwards bumping with CLEVER ESTER.,,,,,,,
,,,,,,,
,,,,,,,
