,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Palmerston North GRC ,,,,,,,
3-Feb-20,,,,,,,
Manawatu Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Formpro Ratings Free Every Monday C1/C2,"C1/2 410 $1,685.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Big Time Pluto,4,$6.10,28.8kg,111,Lisa Cole,
2,Tuff Temptress,7,$24.90,26.7kg,222,B Mitchell,5.7
3,Mother's Touch,6,$7.90,30.1kg,333,J & D Bell,6.3
4,Double What,2,$9.50,32.0kg,444,J & D Bell,6.6
5,Belmonts,3,$1.60,31.2kg,555,Lisa Cole,9.8
6,Big Time Benny,1,$7.80,31.2kg,666,Lisa Cole,10.9
7,Van Jack,5,$39.10,31.5kg,777,D W Denbee,24.3
Scratched,Black Mags,,,,,,
Scratched,Big Time May,,,,,,
Scratched,Dyna Lenny,,,,,,
Winners Time: 23.28,|,Margins: 5tLhLN,|,Owned/Raced by: BBC Syndicate,|,Trained by: Lisa Cole,
Sectional 1: 6.77 (Van Jack),Run home: 16.51,,,,,,
DOUBLE WHAT (2) - hampered for a stride or so when contacted racing in to the bend,,,,,,,
BELMONTS (3) - fav- dwelt slightly at the jump was jostled for a couple of strides racing in to the bend came back off heels losing some ground could not improve thereafter,,,,,,,
"VAN JACK (5) - hampered slightly and ran wide in to the bend lost ground thereafter finishing a margin in the rear at the line a veterinary examination found a left pectoral muscle injury Trainer D Denbee when questioned reported that the dog had been trialling well coming in to today's race ,this was the dogs first race start for 6 months.",,,,,,,
MOTHER'S TOUCH (6) - raced wide in to the bend to race up handy across the top where she ran extremely wide in to the home straight to the line.,,,,,,,
,,,,,,,
