,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Otago GRC ,,,,,,,
25-Feb-20,,,,,,,
Forbury Park Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Otago Maiden Feature Sprint,"C0q 310 $1,365.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Mitcham Magic,1,$1.90,29.8kg,111,J T McInerney,
2,Opawa Nash,7,$5.00,31.9kg,222,J S Rush,1.8
3,Go Blue,8,$12.40,31.3kg,333,R Wales,3.1
4,Impressive Gift,2,$47.60,30.1kg,444,J T McInerney,6.1
5,Homebush Gambler,6,$4.70,33.9kg,655,J T McInerney,6.6
6,Tides End,5,$16.60,30.1kg,576,J F Allen,7.1
7,Button It,3,$24.30,24.3kg,767,J M McCook,8.9
8,Gotcha Georgie,4,$19.00,24.9kg,888,M P Hamilton-Dyett,11.9
Scratched,Opawa Pauline,,,,,,
Scratched,Miss June,,,,,,
Winners Time: 18.65,|,Margins: 1tL1qL3L,|,Owned/Raced by: CQ Syndicate,|,Trained by: J T McInerney,
IMPRESSIVE GIFT (2) - bumped from the outside by BUTTON IT early stages.,,,,,,,
BUTTON IT (3) - collided with HOMEBUSH GAMBLER early stages bumping with IMPRESSIVE GIFT in consequence. Jostled with HOMEBUSH GAMBLER entering the bend.,,,,,,,
GOTCHA GEORGIE (4) - began clumsily settling back.,,,,,,,
TIDES END (5) - slow to jump.,,,,,,,
HOMEBUSH GAMBLER (6) - collided with BUTTON IT early stages. Jostled with BUTTON IT entering the bend.,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 2,OGRC Early Quaddie Sprint,"C1 310 $1,450.00",Photo Finish,,,
