,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Waikato GRC ,,,,,,,
6-Feb-20,,,,,,,
Cambridge Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Cookies Kitchen Sprint ,"C0 375 $1,365.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Thrilling Razor,3,$1.20,35.2kg,111,K M Walsh,
2,Get Me Home,1,$17.00,32.3kg,242,J Udy & D Cottam,15.4
3,Forego,2,$33.40,31.2kg,533,G N Pomeroy,16.4
4,Big Time Kevin,5,$12.90,33.7kg,724,Lisa Cole,16.4
5,Our Hotrod,8,$14.50,34.0kg,555,J Udy & D Cottam,19.5
6,Kapai Chris,4,$18.00,31.7kg,366,W & T Steele,21.1
7,Dobby Who,7,$43.30,35.4kg,677,M Prangley,21.4
8,Clever Ester,6,$16.20,26.7kg,488,W & T Steele,27.2
Scratched,Clever Harper,,,,,,
Scratched,Portland Art,,,,,,
Winners Time: 21.04,|,Margins: 15hL1Ln,|,Owned/Raced by: G E Harding,|,Trained by: K M Walsh,
Sectional 1: 14.53 (Thrilling Razor),Run home: 6.51,,,,,,
GET ME HOME (1) - checked entering turn.,,,,,,,
KAPAI CHRIS (4) - checked entering turn losing considerable ground. Ran wide early run home.,,,,,,,
BIG TIME KEVIN (5) - slow to begin losing several lengths.,,,,,,,
CLEVER ESTER (6) - shifted in entering turn checking inside runners and was then galloped on from behind losing considerable ground. A subsequent veterinary examination revealed ..,,,,,,,
DOBBY WHO (7) - checked entering turn losing considerable ground.,,,,,,,
OUR HOTROD (8) - hampered briefly entering turn.,,,,,,,
,,,,,,,
,,,,,,,
