,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Christchurch GRC ,,,,,,,
28-Feb-20,,,,,,,
Addington Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,The Fitz Sports Bar Sprint,"C0 295 $1,365.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Justin Lincoln,8,$16.20,31.7kg,221,Steve & Bonnie Evans,
2,Mitcham Rob,2,$34.20,30.7kg,112,J T McInerney,0.1
3,Mitcham Magic,4,$1.70,30.2kg,443,J T McInerney,1.6
4,Go Blue,1,$4.40,31.2kg,334,R Wales,1.8
5,Homebush Gambler,3,$7.30,34.3kg,865,J T McInerney,3.8
6,Golden Kiwi,6,$16.60,27.6kg,556,J A McMillan,4.1
7,Nykara,5,$13.50,27.0kg,677,J M McCook,5.6
8,Sheer Flattery,7,$48.10,27.2kg,788,A J Botherway,7.9
Scratched,Opawa Nash,,,,,,
Scratched,Double Queenie,,,,,,
Winners Time: 17.46,|,Margins: n1hLH,|,Owned/Raced by: Punters HQ,|,Trained by: Steve & Bonnie Evans,
Sectional 1: 5.90 (Mitcham Rob),Run home: 11.56,,,,,,
GO BLUE (1) - ran outwards back straight contacting outside runners. Raced wide home straight.,,,,,,,
HOMEBUSH GAMBLER (3) - contacted by outside runners early stages.,,,,,,,
MITCHAM MAGIC (4) - contacted by outside runners early stages.,,,,,,,
NYKARA (5) - checked by GOLDEN KIWI early stages. Raced wide home straight.,,,,,,,
GOLDEN KIWI (6) - ran inwards early stages checking inside runners.,,,,,,,
SHEER FLATTERY (7) - last on jumping. Raced wide around bend.,,,,,,,
,,,,,,,
,,,,,,,
