,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Auckland GRC ,,,,,,,
16-Feb-20,,,,,,,
Manukau Stadium,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Speedmaps @Formpro Ratings Sprint,"C1 318 $1,450.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Our Greg,2,$1.90,35.3kg,521,E Potts,
2,Bailey And Cream,8,$14.50,26.0kg,112,R & L Udy,2.02
3,Little Mermaid,1,$11.60,25.9kg,233,W & T Steele,6.8
4,Paddy Fast,3,$3.90,36.4kg,344,M & J Smith,7.74
5,Tamantha,6,$9.40,27.1kg,685,H R Bond,9.62
6,Smash Burton,4,$15.50,31.2kg,866,R & L Udy,9.88
7,Botany Rifles,5,$18.70,31.3kg,777,N P Green,11.64
8,Small Paige,7,$35.10,26.0kg,458,Agent/Williams,13.5
Scratched,Star Secret,,,,,,
Scratched,My Bro Bobby,,,,,,
Winners Time: 18.85,|,Margins: 2L4tL1L,|,Owned/Raced by: D P McLachlan,|,Trained by: E Potts,
Sectional 1: 4.62 (Bailey And Cream),Run home: 14.23,,,,,,
OUR GREG (2) - bumped shortly after the start. Contacted nearing the home straight.,,,,,,,
PADDY FAST (3) - bumped then squeezed between runners shortly after the start. Jostled with SMALL PAIGE through the back straight. Bumped SMALL PAIGE nearing the home straight when moving up the track.,,,,,,,
"SMASH BURTON (4) - began awkwardly, squeezing BOTANY RIFLES at the start. Contacted TAMANTHA entering the bend. Bumped BOTANY RIFLES nearing the home straight.",,,,,,,
