,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Christchurch GRC ,,,,,,,
6-Feb-20,,,,,,,
Addington Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,The Fitz Sports Bar Sprint,"C4 295 $2,390.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Country Gent,7,$4.00,28.9kg,211,A G Bradshaw,
2,Jinja Ellie,3,$4.60,28.6kg,322,A Joyce,0.5
3,Chitina Tin,4,$10.30,33.9kg,643,A H Lee,1.8
4,Sozin's Azure,1,$12.90,32.1kg,134,J T McInerney,2
5,Treville,6,$5.00,34.7kg,755,J E Dunn,2.3
6,King Toliman,8,$11.00,32.0kg,576,Craig Roberts,5.3
7,Homebush Tesan,5,$29.90,31.5kg,467,J T McInerney,6.3
8,Hear This,2,$4.40,27.5kg,888,M M Grant,23
Scratched,Smash Attack,,,,,,
Scratched,Nelso Allen,,,,,,
Winners Time: 17.45,|,Margins: hL1qLH,|,Owned/Raced by: A Bradshaw & P Seque,|,Trained by: A G Bradshaw,
Sectional 1: 5.88 (Sozin's Azure),Run home: 11.57,,,,,,
HEAR THIS (2) - faltered in its gait early stages losing ground with the field. Referred to the Veterinarian where it was reported to have a torn left gracilis muscle.,,,,,,,
CHITINA TIN (4) - collided with TREVILLE early stages.,,,,,,,
HOMEBUSH TESAN (5) - checked from behind entering the bend losing momentum.,,,,,,,
TREVILLE (6) - collided with CHITINA TIN early stages.,,,,,,,
KING TOLIMAN (8) - came down the track in the run to the bend forcing CHITINA TIN down the track. Awkwardly placed on heels entering the bend. Checked off heels rounding the bend.,,,,,,,
,,,,,,,
,,,,,,,
