,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Wanganui GRC ,,,,,,,
5-Feb-20,,,,,,,
Hatrick Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Absolutely Electrical C0,"C0 305 $1,365.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Webber Come,8,$3.60,35.0kg,331,J T McInerney,
2,Firecracker,2,$22.50,25.3kg,112,Agent/Williams,0.7
3,Jamboree,5,$7.00,24.6kg,223,C J Morris,2.5
4,Sedgebrook Comet,1,$2.00,30.8kg,664,F W Kite,5.6
5,Alfie Daman,6,$35.00,31.5kg,745,P J Clark,7.9
6,Homebush Brave,4,$25.70,33.8kg,456,J T McInerney,8.5
7,Allegro Kyle,7,$7.90,29.8kg,877,Lisa Cole,9.4
8,Isaac Marjen,3,$23.20,31.4kg,588,Marcie Flipp,11
Scratched,Dewie,,,,,,
Scratched,Telltale Signs,,,,,,
Winners Time: 18.09,|,Margins: tL1tL3L,|,Owned/Raced by: J T McInerney,|,Trained by: J T McInerney,
Sectional 1: 7.12 (Firecracker),Run home: 10.97,,,,,,
SEDGEBROOK COMET (1) - bumped ISAAC MAJEN on a number of occasions shortly after the start. Raced wide through the home straight.,,,,,,,
"ISAAC MARJEN (3) - bumped on a number of occasions shortly after the start, in turn bumping HOMEBUSH BRAVE.",,,,,,,
"HOMEBUSH BRAVE (4) - bumped shortly after the start, then tightened and lost ground. Squeezed ALFIE DAMAN nearing the bend. Bumped ALLEGRO KYLE entering the bend.",,,,,,,
"JAMBOREE (5) - bumped WEBBER COME shortly after the start. Tightened entering the bend, needing to check off heels as a result.",,,,,,,
