,,,,,,,
,,,,,,,
,,,,,,,
We love our dogs. They love to race.,,,,,,,
MEMBERS LOG IN,,,,,,,
Races,,,,,,,
Calendar,,,,,,,
Events and Promotions,,,,,,,
Group and Feature races,,,,,,,
Fields,,,,,,,
Results,,,,,,,
Racing Replay Archives,,,,,,,
Box Statistics,,,,,,,
Clubs and Tracks,,,,,,,
Betting guide,,,,,,,
??,,,,,,,
Getting Involved,,,,,,,
Become a Licensed Person,,,,,,,
Public Syndication,,,,,,,
Career Opportunities,,,,,,,
Join The Excitement,,,,,,,
Purchasing a Greyhound,,,,,,,
Online Payments,,,,,,,
Trainers,,,,,,,
Public Trainer - Contacts,,,,,,,
Trainer Premiership,,,,,,,
Club Selection Criteria,,,,,,,
Greyhounds,,,,,,,
Greyhound Profiles,,,,,,,
Greyhound of the Year,,,,,,,
Hall of Fame,,,,,,,
Greyhound Standings,,,,,,,
Stud Masters and Stud Dogs,,,,,,,
Greyhound Adoption Programme,,,,,,,
Great Mates Prison Programme,,,,,,,
Health and Welfare,,,,,,,
Great Mates Rehoming Programme,,,,,,,
About GRNZ,,,,,,,
About Us,,,,,,,
Meet the Team,,,,,,,
History,,,,,,,
Contact Us,,,,,,,
Fees and Forms,,,,,,,
Rules and Policies,,,,,,,
Documents,,,,,,,
Sponsors and Support,,,,,,,
Links,,,,,,,
News,,,,,,,
News Articles,,,,,,,
Stakeholders News,,,,,,,
Blog,,,,,,,
Online Payments,,,,,,,
Results Palmerston North GRC ,,,,,,,
17-Feb-20,,,,,,,
Manawatu Raceway,,,,,,,
,,,,,,,
,,,,,,,
FULL RESULTS,Race 1,Formpro Ratings Free Every Monday C0,"C0 410 $1,365.00",Photo Finish,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN
1,Portland Berty,6,$4.90,34.5kg,221,B D F Craik,
2,Big Time Fairy,4,$3.40,23.7kg,112,Lisa Cole,7
3,Allegro Kyle,8,$14.80,30.9kg,633,Lisa Cole,18.7
4,Ariana Sunset,1,$45.80,26.1kg,474,B L Goldsack,20.9
5,Big Time Joey,5,$10.60,33.8kg,765,Lisa Cole,23.8
6,Big Time Roonie,3,$2.50,30.0kg,346,Lisa Cole,23.9
7,Jack Marjen,2,$15.80,30.7kg,587,Marcie Flipp,25.4
8,Big Time Kevin,7,$15.60,34.5kg,868,Lisa Cole,25.8
Scratched,Nellie Marjen,,,,,,
Scratched,Chic In Time,,,,,,
Winners Time: 23.62,|,Margins: 7L11tL2qL,|,Owned/Raced by: Sparkle and Fade Syndicate,|,Trained by: B D F Craik,
Sectional 1: 6.96 (Portland Berty),Run home: 16.66,,,,,,
"ARIANA SUNSET (1) - bumped BIG TIME ROONIE on several occasions through the back straight. Tightened entering the bend. Bumped BIG TIME JOEY on the point of the bend, becoming unbalanced and losing ground. Raced wide through the home straight.",,,,,,,
"BIG TIME ROONIE (3) - bumped on several occasions through the back straight. Tightened ARIANA SUNSET entering the bend. Tightened ALLEGRO KYLE nearing the home straight. Tightened entering the home straight, needing to check off heels as a result.",,,,,,,
